tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
0,8852.595588,0.0242,39.0,0,39.0,8852.595588,0.0210,39.0,0,39.0,13.21,0.00
1,5364.158088,0.0249,47.0,0,47.0,5364.158088,0.0224,47.0,0,47.0,10.17,0.00
2,10477.301471,0.0215,28.0,0,28.0,10477.301471,0.0232,28.0,0,28.0,-7.99,0.00
3,40108.279412,0.0251,30.0,0,30.0,40108.279412,0.0222,30.0,0,30.0,11.60,0.00
4,10713.750000,0.0236,27.0,0,27.0,10713.750000,0.0221,27.0,0,27.0,6.49,0.00
5,5517.371324,0.0201,6.0,0,6.0,5517.371324,0.0401,6.0,0,6.0,-100.00,0.00
6,5679.316176,0.0215,6.0,0,6.0,5679.316176,0.0211,6.0,0,6.0,1.76,0.00
7,47583.400735,0.0208,39.0,0,39.0,47583.400735,0.0213,39.0,0,39.0,-2.52,0.00
8,1606.077206,0.0227,42.0,0,42.0,1606.077206,0.0228,42.0,0,42.0,-0.36,0.00
9,9584.496324,0.0302,64.0,0,64.0,9584.496324,0.0205,64.0,0,64.0,32.10,0.00
10,30801.709559,0.0252,41.0,0,41.0,30801.709559,0.0229,41.0,0,41.0,9.34,0.00
11,839.702206,0.0213,39.0,0,39.0,839.702206,0.0198,39.0,0,39.0,6.81,0.00
12,32387.066176,0.0218,41.0,0,41.0,32387.066176,0.0248,41.0,0,41.0,-14.07,0.00
13,4199.279412,0.0203,18.0,0,18.0,4199.279412,0.0241,18.0,0,18.0,-18.46,0.00
14,1662.408088,0.0205,30.0,0,30.0,1662.408088,0.0223,30.0,0,30.0,-8.57,0.00
15,31045.455882,0.0290,41.0,0,41.0,31045.455882,0.0218,41.0,0,41.0,24.62,0.00
16,34055.830882,0.0225,41.0,0,41.0,34055.830882,0.0237,41.0,0,41.0,-5.27,0.00
17,1177.595588,0.0189,16.0,0,16.0,1177.595588,0.0191,16.0,0,16.0,-0.91,0.00
18,1181.691176,0.0211,42.0,0,42.0,1181.691176,0.0266,42.0,0,42.0,-26.07,0.00
19,25006.606618,0.0212,22.0,0,22.0,25006.606618,0.0231,22.0,0,22.0,-8.94,0.00
20,1256.253676,0.0201,40.0,0,40.0,1256.253676,0.0228,40.0,0,40.0,-13.08,0.00
21,25284.386029,0.0231,32.0,0,32.0,25284.386029,0.0249,32.0,0,32.0,-7.89,0.00
22,66165.555147,0.0250,41.0,0,41.0,66165.555147,0.0226,41.0,0,41.0,9.51,0.00
23,41844.602941,0.0217,7.0,0,7.0,41844.602941,0.0225,7.0,0,7.0,-3.39,0.00
24,22791.084559,0.0236,41.0,0,41.0,22791.084559,0.0220,41.0,0,41.0,7.07,0.00
25,58373.775735,0.0214,41.0,0,41.0,58373.775735,0.0236,41.0,0,41.0,-10.01,0.00
26,11344.224265,0.0219,24.0,0,24.0,11344.224265,0.0210,24.0,0,24.0,4.27,0.00
27,14236.363971,0.0234,7.0,0,7.0,14236.363971,0.0223,7.0,0,7.0,4.79,0.00
28,8790.128676,0.0209,38.0,0,38.0,8790.128676,0.0221,38.0,0,38.0,-5.71,0.00
29,4390.569853,0.0224,39.0,0,39.0,4390.569853,0.0208,39.0,0,39.0,6.96,0.00
30,16654.113971,0.0223,21.0,0,21.0,16654.113971,0.0215,21.0,0,21.0,3.60,0.00
31,7521.944853,0.0236,5.0,0,5.0,7521.944853,0.0227,5.0,0,5.0,3.81,0.00
32,1464.580882,0.0236,14.0,0,14.0,1464.580882,0.0227,14.0,0,14.0,3.91,0.00
33,54765.029412,0.0215,41.0,0,41.0,54765.029412,0.0213,41.0,0,41.0,1.11,0.00
34,69208.312500,0.0241,41.0,0,41.0,69208.312500,0.0216,41.0,0,41.0,10.05,0.00
35,36581.283088,0.0250,7.0,0,7.0,36581.283088,0.0220,7.0,0,7.0,12.09,0.00
36,3660.841912,0.0195,29.0,0,29.0,3660.841912,0.0199,29.0,0,29.0,-1.82,0.00
37,19881.628676,0.0200,40.0,0,40.0,19881.628676,0.0224,40.0,0,40.0,-12.02,0.00
38,16378.511029,0.0243,35.0,0,35.0,16378.511029,0.0316,35.0,0,35.0,-30.01,0.00
39,65812.680147,0.0312,41.0,0,41.0,65812.680147,0.0225,41.0,0,41.0,27.71,0.00
40,7522.812500,0.0216,5.0,0,5.0,7522.812500,0.0225,5.0,0,5.0,-4.39,0.00
41,8319.875000,0.0207,41.0,0,41.0,8319.875000,0.0202,41.0,0,41.0,2.47,0.00
42,53822.213235,0.0214,39.0,0,39.0,53822.213235,0.0214,39.0,0,39.0,0.05,0.00
43,1138.172794,0.0201,14.0,0,14.0,1138.172794,0.0324,14.0,0,14.0,-61.32,0.00
44,57219.444853,0.0253,39.0,0,39.0,57219.444853,0.0214,39.0,0,39.0,15.37,0.00
45,10967.628676,0.0220,16.0,0,16.0,10967.628676,0.0203,16.0,0,16.0,7.89,0.00
46,9571.463235,0.0212,35.0,0,35.0,9571.463235,0.0220,35.0,0,35.0,-4.13,0.00
47,11363.742647,0.0196,5.0,0,5.0,11363.742647,0.0234,5.0,0,5.0,-19.39,0.00
48,9845.253676,0.0205,35.0,0,35.0,9845.253676,0.0265,35.0,0,35.0,-29.56,0.00
49,7946.875000,0.0340,36.0,0,36.0,7946.875000,0.0208,36.0,0,36.0,38.96,0.00
50,3317.345588,0.0213,6.0,0,6.0,3317.345588,0.0237,6.0,0,6.0,-11.56,0.00
51,7737.051471,0.0195,6.0,0,6.0,7737.051471,0.0225,6.0,0,6.0,-15.40,0.00
52,8793.694853,0.0222,36.0,0,36.0,8793.694853,0.0230,36.0,0,36.0,-3.48,0.00
53,44398.768382,0.0226,39.0,0,39.0,44398.768382,0.0216,39.0,0,39.0,4.53,0.00
54,33937.470588,0.0219,40.0,0,40.0,33937.470588,0.0263,40.0,0,40.0,-20.17,0.00
