tm_index,cold_target,cold_solve_time,cold_iterations,cold_bar_iterations,cold_simplex_iterations,warm_target,warm_solve_time,warm_iterations,warm_bar_iterations,warm_simplex_iterations,time_improvement_pct,iter_improvement_pct
0,6199.713235,0.0229,31.0,0,31.0,6199.713235,0.0219,31.0,0,31.0,4.12,0.00
1,35651.882353,0.0195,8.0,0,8.0,35651.882353,0.0219,8.0,0,8.0,-12.47,0.00
2,108130.518382,0.0196,7.0,0,7.0,108130.518382,0.0206,7.0,0,7.0,-5.39,0.00
3,118240.492647,0.0190,7.0,0,7.0,118240.492647,0.0206,7.0,0,7.0,-8.10,0.00
4,1719.268382,0.0183,6.0,0,6.0,1719.268382,0.0203,6.0,0,6.0,-10.76,0.00
5,42681.084559,0.0198,41.0,0,41.0,42681.084559,0.0219,41.0,0,41.0,-10.38,0.00
6,7066.731618,0.0191,65.0,0,65.0,7066.731618,0.0200,65.0,0,65.0,-4.71,0.00
7,8360.886029,0.0205,39.0,0,39.0,8360.886029,0.0276,39.0,0,39.0,-34.90,0.00
8,126103.136029,0.0200,5.0,0,5.0,126103.136029,0.0207,5.0,0,5.0,-3.79,0.00
9,10495.154412,0.0175,3.0,0,3.0,10495.154412,0.0204,3.0,0,3.0,-16.09,0.00
10,47355.080882,0.0181,42.0,0,42.0,47355.080882,0.0238,42.0,0,42.0,-31.18,0.00
11,9837.801471,0.0185,31.0,0,31.0,9837.801471,0.0234,31.0,0,31.0,-26.26,0.00
12,33118.628676,0.0194,34.0,0,34.0,33118.628676,0.0222,34.0,0,34.0,-14.68,0.00
13,88720.205882,0.0200,38.0,0,38.0,88720.205882,0.0279,38.0,0,38.0,-39.71,0.00
14,42440.797794,0.0179,34.0,0,34.0,42440.797794,0.0192,34.0,0,34.0,-7.03,0.00
15,40660.250000,0.0209,27.0,0,27.0,40660.250000,0.0203,27.0,0,27.0,3.01,0.00
16,79641.915441,0.0203,38.0,0,38.0,79641.915441,0.0207,38.0,0,38.0,-2.00,0.00
17,39074.389706,0.0185,7.0,0,7.0,39074.389706,0.0199,7.0,0,7.0,-7.69,0.00
18,174016.812500,0.0230,46.0,0,46.0,174016.812500,0.0214,46.0,0,46.0,6.90,0.00
19,14521.125000,0.0195,27.0,0,27.0,14521.125000,0.0219,27.0,0,27.0,-12.55,0.00
20,38570.926471,0.0185,43.0,0,43.0,38570.926471,0.0195,43.0,0,43.0,-5.29,0.00
21,14490.209559,0.0186,29.0,0,29.0,14490.209559,0.0199,29.0,0,29.0,-6.71,0.00
22,14068.139706,0.0181,31.0,0,31.0,14068.139706,0.0231,31.0,0,31.0,-27.49,0.00
23,1314.025735,0.0184,4.0,0,4.0,1314.025735,0.0215,4.0,0,4.0,-16.85,0.00
