tm_index,cold_target,cold_solve_time,cold_iterations,minhop_target,minhop_solve_time,minhop_iterations,loadbalance_target,loadbalance_solve_time,loadbalance_iterations,greedyqos_target,greedyqos_solve_time,greedyqos_iterations,minhop_improvement_pct,loadbalance_improvement_pct,greedyqos_improvement_pct
0,10394.838235,0.0246,2.0,10394.838235,0.0281,2.0,10394.838235,0.0224,2.0,10394.838235,0.0259,2.0,-13.92,8.89,-5.16
1,11130.588235,0.0245,23.0,11130.588235,0.0227,23.0,11130.588235,0.0207,23.0,11130.588235,0.0220,23.0,7.24,15.20,9.91
2,4858.797794,0.0213,45.0,4858.797794,0.0256,45.0,4858.797794,0.0253,45.0,4858.797794,0.0255,45.0,-20.28,-18.61,-19.78
3,6225.617647,0.0209,46.0,6225.617647,0.0246,46.0,6225.617647,0.0276,46.0,6225.617647,0.0284,46.0,-17.29,-31.82,-35.60
4,13193.426471,0.0221,29.0,13193.426471,0.0221,29.0,13193.426471,0.0264,29.0,13193.426471,0.0245,29.0,-0.27,-19.52,-10.81
5,9517.834559,0.0206,2.0,9517.834559,0.0260,2.0,9517.834559,0.0244,2.0,9517.834559,0.0249,2.0,-26.42,-18.55,-21.09
6,23372.713235,0.0227,7.0,23372.713235,0.0229,7.0,23372.713235,0.0241,7.0,23372.713235,0.0229,7.0,-1.12,-6.28,-1.26
7,13099.970588,0.0204,23.0,13099.970588,0.0239,23.0,13099.970588,0.0229,23.0,13099.970588,0.0250,23.0,-17.06,-12.40,-22.83
8,12168.830882,0.0203,5.0,12168.830882,0.0228,5.0,12168.830882,0.0236,5.0,12168.830882,0.0243,5.0,-12.34,-16.22,-19.53
9,12288.003676,0.0228,22.0,12288.003676,0.0205,22.0,12288.003676,0.0233,22.0,12288.003676,0.0221,22.0,10.04,-2.15,3.14
10,17221.036765,0.0211,33.0,17221.036765,0.0230,33.0,17221.036765,0.0247,33.0,17221.036765,0.0234,33.0,-8.81,-17.09,-10.74
11,12962.985294,0.0202,23.0,12962.985294,0.0223,23.0,12962.985294,0.0204,23.0,12962.985294,0.0252,23.0,-10.37,-0.91,-24.98
12,2854.253676,0.0236,32.0,2854.253676,0.0254,32.0,2854.253676,0.0250,32.0,2854.253676,0.0264,32.0,-7.67,-6.06,-11.72
13,146220.613971,0.0237,3.0,146220.613971,0.0232,3.0,146220.613971,0.0223,3.0,146220.613971,0.0218,3.0,1.72,5.60,7.66
14,11691.996324,0.0245,29.0,11691.996324,0.0258,29.0,11691.996324,0.0236,29.0,11691.996324,0.0259,29.0,-5.30,3.84,-5.46
15,10343.617647,0.0253,24.0,10343.617647,0.0254,24.0,10343.617647,0.0239,24.0,10343.617647,0.0242,24.0,-0.17,5.53,4.37
16,28262.334559,0.0238,29.0,28262.334559,0.0216,29.0,28262.334559,0.0237,29.0,28262.334559,0.0239,29.0,9.34,0.33,-0.57
17,18331.323529,0.0203,21.0,18331.323529,0.0235,21.0,18331.323529,0.0234,21.0,18331.323529,0.0235,21.0,-16.16,-15.70,-16.22
18,10604.352941,0.0205,38.0,10604.352941,0.0233,38.0,10604.352941,0.0219,38.0,10604.352941,0.0226,38.0,-13.47,-6.50,-10.04
19,2355.683824,0.0209,27.0,2355.683824,0.0227,27.0,2355.683824,0.0224,27.0,2355.683824,0.0265,27.0,-8.59,-7.14,-26.86
20,24193.889706,0.0266,28.0,24193.889706,0.0208,28.0,24193.889706,0.0274,28.0,24193.889706,0.0287,28.0,21.84,-3.09,-7.95
21,15334.761029,0.0320,28.0,15334.761029,0.0276,28.0,15334.761029,0.0242,28.0,15334.761029,0.0238,28.0,13.74,24.29,25.68
22,2785.558824,0.0230,17.0,2785.558824,0.0230,17.0,2785.558824,0.0228,17.0,2785.558824,0.0227,17.0,0.24,1.10,1.66
23,19026.705882,0.0232,35.0,19026.705882,0.0238,35.0,19026.705882,0.0255,35.0,19026.705882,0.0232,35.0,-2.50,-9.79,0.13
24,2905.113971,0.0257,42.0,2905.113971,0.0234,42.0,2905.113971,0.0246,42.0,2905.113971,0.0241,42.0,8.78,4.04,5.92
25,37594.577206,0.0258,6.0,37594.577206,0.0213,6.0,37594.577206,0.0222,6.0,37594.577206,0.0258,6.0,17.47,13.72,-0.11
26,9461.297794,0.0265,3.0,9461.297794,0.0219,3.0,9461.297794,0.0232,3.0,9461.297794,0.0217,3.0,17.45,12.69,18.41
27,15446.915441,0.0214,32.0,15446.915441,0.0231,32.0,15446.915441,0.0262,32.0,15446.915441,0.0250,32.0,-8.15,-22.61,-16.87
28,4535.040441,0.0258,40.0,4535.040441,0.0220,40.0,4535.040441,0.0254,40.0,4535.040441,0.0241,40.0,14.75,1.83,6.70
29,2267.558824,0.0203,35.0,2267.558824,0.0253,35.0,2267.558824,0.0224,35.0,2267.558824,0.0221,35.0,-24.96,-10.69,-8.99
